Date,ID1,ID2, N lbs per acre ,P2O5 lbs per acre,K2O lbs per acre,Nutrient value per acre $,NO3-N Only lbs per acre 70%,Additional N lbs per acre,$ nitrogen saved  per acre, 1-day CO2-C,Organic C,Organic N,Organic C:N,Soil Health Calculation,Cover crop mix,Total Nitrogen lbs\acre,Inorganic N,Organic N,Total Phosphate  lbs/acre,Inorganic P,Organic P,Al ppm,Fe ppm,Ca ppm,Organic N release,Organic N reserve ,Organic P release,Organic P reserve,% P sat,Ca/AlFe,SHC,Nitrogen Saved $,pH,buffer pH,Lime,NO3,Fe,Mn,Zn,Cu,P,K,Ca,Mg,S,Na,EC,Total Biomass,Diversity Index,Bacteria %,Total Bacteria Biomass,Actinomycetes %,Actinomycetes Biomass,Gram (-) %,Gram (-) Biomass,Rhizobia %,Rhizobia Biomass,Total Fungi %,Total Fungi Biomass,Arbusular Mycorrhizal %,Arbuscular Mycorrhizal Biomass,Saprophytic %,Saprophytes Biomass,Protozoan %,Protozoa Biomass,Gram (+) Biomass,Gram (+) %,Undifferentiated %,Undifferentiated Biomass,Fungi:Bacteria,Predator:Prey,Gram(+):Gram(-),Sat:Unsat,Mono:Poly,Pre 16:1w7c:cy17:0,Pre 18:1w7c:cy19:0
1Win18,1,Crop,12.46906208,0.515592369,44.33578033,20.86606261,0.280246484,12.18881559,8.532170916,13.98475456,61.41619873,5.564701557,11.03674603,3.183269501,60% Legume 40% Grass,13.58170319,2.452300072,11.12940311,0.515592369,0.429660296,0.085932073,190.8514557,81.17359161,100.2769318,10.13686752,0.992535591,0.058701399,0.027230674,0.082408071,0.368631244,3.183269501,8.5322,5.71,7.75,0.5,1,29.94485934,15.24532102,0.268436051,0.245243898,1,69.31692876,472.5306235,59.59915637,6.302187423,,,322.2,0.972,40.28,129.8,7.12,22.93,6.65,21.43,0,0,1,3.23,0,0,1,3.23,0,0,108.37,33.63,58.71,189.18,0.0249,ALL PREY,5.0571,7.5351,ALL MONO,NONE FOUND,ALL PRE 18:1
1Win18,2,Overgrown,54.26200374,1.000489038,55.21885071,41.73174157,0.761976886,53.50002685,37.4500188,116.9191971,176.5507507,26.65856743,6.622664452,15.94013786,30% Legume 70% Grass,54.58856583,1.271430373,53.31713545,1.000489038,0.833740842,0.166748196,48.05335236,35.3535347,871.1968384,53.31713486,0,0.166748196,0,0.521533966,10.44514275,15.94013786,37.45,6.73,,0,1,57.15062395,4.930203688,1.213936959,0.186586086,5.734674211,48.20815709,2465.766237,112.2737187,3.537849455,,,5404.22,1.383,51.69,2793.36,9.12,492.74,22.37,1208.79,0,0,7.95,429.44,2.77,149.89,5.17,279.54,0.06,3.09,1584.58,29.32,40.31,2178.33,0.1537,0.0011,1.3109,1.7109,16.9969,ALL PRE 16:1,17.8501
1Win18,3,Bottom,47.71474615,9.651437426,81.44499207,54.34765188,0.315966761,47.39877939,33.17914557,291.8041382,385.9736938,23.48174858,16.43717766,30.91080093,20% Legume 80% Grass,47.85015869,0.886663318,46.96349537,9.651437426,8.042864156,1.60857327,205.6530762,459.1132813,215.1087189,46.96349537,1.79E-06,1.60857327,-6.66E-16,0.631240904,0.323585451,30.91080093,33.1791,4.99,7.2,9,1,395.6260964,41.27286831,5.229529895,0.633576976,8.798444809,76.0090912,936.8550997,225.1602824,13.80874126,,,6985.73,1.519,48.74,3404.83,8.76,612.04,19.47,1360.05,2,139.7,8.94,624.87,1.56,108.85,7.39,516.03,0.32,22.03,2044.78,29.27,42,2933.98,0.1835,0.0065,1.5035,1.8432,16.9813,ALL PRE 16:1,5.9947
1Win18,4,Longleaf,18.56120595,1.26828801,32.56997452,19.71177507,0.492528588,18.06867737,12.64807416,45.26106262,103.4589996,8.72204113,11.8617878,7.467490196,50% Legume 50% Grass,18.77228928,1.328207374,17.4440819,1.26828801,1.056906721,0.211381289,167.9883423,86.51399231,109.2704849,17.4440819,3.58E-07,0.211381289,5.55E-17,0.216669753,0.429349631,7.467490196,12.6481,5.35,7.4,6,1,10.86879317,2.044002114,0.222781077,0.121205604,1.89959696,44.536181,547.2389684,121.8725027,10.36249379,,,2683.48,1.254,43.83,1176.05,7.8,209.23,16.3,437.33,0,0,4.8,128.78,0,0,4.8,128.78,0,0,738.72,27.53,51.38,1378.65,0.1095,ALL PREY,1.6891,2.6003,37.6289,NONE FOUND,51.3965
1Win18,5,Switch,26.64151248,1.372713959,34.23868103,23.60104312,0.503907812,26.13760467,18.29632327,55.18056107,161.3231812,12.94573498,12.46149254,10.03909302,40% Legume 60% Grass,26.85747337,0.966003001,25.89147037,1.372713959,1.143928254,0.228785706,93.97099304,34.5678978,156.0708313,25.89146996,0,0.228785706,-2.78E-17,0.464320302,1.214191556,10.03909302,18.2963,5.28,7.3,7,1,63.64122692,3.688808392,0.910250034,0.175379563,4.172084618,35.95157403,492.8126994,54.52934726,4.411398011,,,5968.86,1.645,41.87,2499.41,7.7,459.67,17.79,1061.59,2.98,178.02,13.86,827.52,2.21,132.05,11.65,695.47,0.71,42.2,1437.83,24.09,43.55,2599.72,0.3311,0.0169,1.3544,1.7427,5.2315,7.4591,3.1646
1Win18,6,Burned,25.95713205,0.831994033,50.16501617,28.52300431,0.525187922,25.43194413,17.80236089,32.88579941,119.4164276,12.40299511,9.628031731,6.917208195,50% Legume 50% Grass,26.18221283,1.376222372,24.80599046,0.831994033,0.693328384,0.138665649,87.47476959,30.69306946,94.35201263,24.80599022,0,0.114560386,0.024105263,0.306120962,0.798457623,6.917208195,17.8024,5.75,7.66,3,1,33.05900252,3.873294609,0.269075337,0.153347853,2.715757776,59.57477647,349.6781093,65.71360802,3.868149366,,,4678.01,1.644,47.72,2232.34,8.49,397.12,21.74,1016.79,3.64,170.15,17.13,801.47,2.55,119.39,14.58,682.08,0.74,34.83,1215.54,25.98,34.4,1609.37,0.359,0.0156,1.1955,1.6004,4.1999,4.1704,3.0211
1Win18,7,Pasture,44.05509847,348.0014481,122.2502197,304.0106299,4.194630384,39.86046808,27.90232766,50.46197891,126.0480423,19.91389084,6.329654217,9.558547974,50% Legume 50% Grass,45.85279846,6.025015354,39.82778311,348.0014481,290.0012009,58.00024719,71.40935516,86.64987946,384.0625916,39.82778168,0,58.00024719,-7.11E-15,95.72675323,2.429864883,9.558547974,27.9023,6.42,,0,3,45.50349198,6.146556035,8.065317528,4.671082485,273.3999086,157.2753452,1058.028223,125.9522042,10.12978922,,,4226.29,1.382,45.01,1902.28,8.67,366.29,14.63,618.2,0,0,6.23,263.28,1.99,83.99,4.24,179.29,0.29,12.39,1284.09,30.38,48.47,2048.34,0.1384,0.0065,2.0772,2.7743,14.7655,ALL PRE 16:1,17.1838
1Win18,8,Loblolly,14.81224473,10.7452774,32.40506287,24.78836408,0.558584046,14.25366068,9.977562475,13.37352276,104.7991409,13.46898937,7.780772209,4.78023386,60% Legume 40% Grass,28.23928833,1.30130887,26.93797946,10.7452774,8.954397655,1.79087975,69.80459595,24.30379868,73.29251099,13.75032902,13.18764973,0.685607848,1.105271903,4.964338779,0.778809488,4.78023386,9.9776,5.58,7.8,2,1,24.56200076,4.598024868,0.950547202,0.120154872,29.11358924,44.1203424,234.3290733,32.54993412,3.375733167,,,4004.98,1.353,35.11,1406.26,5.05,202.18,15.87,635.49,0,0,5.73,229.5,1.07,42.68,4.66,186.82,0.13,5.02,770.77,19.25,59.03,2364.19,0.1632,0.0036,1.2129,2.4847,14.485,NONE FOUND,27.4227
2Spr18,1,Crop,45.65631908,33.53839221,58.60805511,62.25222147,15.05671978,30.5995993,21.41971951,37.29999924,104.747139,15.16020489,6.909348488,7.340963364,50% Legume 50% Grass,52.10919952,21.78878975,30.32040977,33.53839331,13.41535754,20.12303576,64.86804962,26.06516266,104.3544464,30.32040977,0,20.12303467,1.10E-06,16.03584671,1.147594452,7.340963364,21.4197,5.54,7.71,0.5,1,13.823,13.502,0.168,0.141,6.964,97.326,339.63,44.215,7.108,66.539,35.5,1768.69,1.046,43.37,767.05,8.47,149.81,8.06,142.5,0,0,1.53,27.06,0,0,1.53,27.06,0,0,624.55,35.31,55.1,974.58,0.0353,ALL PREY,4.3828,5.7024,ALL MONO,NONE FOUND,ALL PRE 18:1
2Spr18,2,Overgrown,79.68419105,37.08016181,76.79676819,84.70865855,8.693196297,70.99099475,49.69369633,296.7999878,451.0324097,35.28013611,12.78431606,33.74866104,20% Legume 80% Grass,83.40984344,12.84957409,70.56026936,37.08016071,8.269613791,28.81054692,38.63614655,66.00984955,1503.759399,70.56026936,2.86E-06,28.81054802,-1.10E-06,15.40604496,14.36996555,33.74866104,49.6937,7.62,,0,1,54.778,5.788,2.623,0.211,4.909,51.196,3410.625,184.362,6.707,59.185,130.6,10546.23,1.598,49.25,5194.5,8.12,856.4,24.44,2577.33,1.61,169.69,13.3,1402.96,3.94,415.2,9.37,987.76,1.09,115.27,2617.17,24.82,36.35,3833.52,0.2701,0.0222,1.0155,1.1944,8.0335,ALL PRE 16:1,8.6089
